Gender|TelephoneNumber|Company|Surname|GivenName|EmailAddress
male|620-306-8543|Circus World|Beavers|Robert|RobertTBeavers@superrito.com
female|614-656-5010|Square Circle|Fox|Rhonda|RhondaKFox@jourrapide.com
male|972-607-2182|Carl Durfees|Adair|Allen|AllenAAdair@teleworm.us
male|989-587-2375|Custom Lawn Care|Russo|George|GeorgeARusso@dayrep.com
female|516-735-2515|Strawberries|Smith|Mireya|MireyaRSmith@gustr.com
male|301-660-3896|Cherry & Webb|Darnell|Dave|DaveHDarnell@rhyta.com
male|917-553-7459|Asian Plan|Hyslop|Warren|WarrenKHyslop@dayrep.com
female|510-787-6763|Adaptaz|McCarter|Joan|JoanLMcCarter@superrito.com
female|415-364-1184|Sounds of Soul Records & Tapes|Whitaker|Janice|JaniceTWhitaker@cuvox.de
male|731-627-2740|Sounds Great, Inc|Ashley|Cleveland|ClevelandSAshley@gustr.com
female|813-329-8803|Mansmann's Department Store|Moore|Genevieve|GenevieveJMoore@dayrep.com
female|317-504-9370|J. Riggings|Mize|Renee|ReneeJMize@rhyta.com
male|585-924-7321|Alpha Beta|Osborne|Roger|RogerIOsborne@fleckens.hu
male|805-736-6395|Prestigabiz|Williams|Dale|DaleLWilliams@rhyta.com
male|925-484-1980|Rite Solution|Harbin|Kevin|KevinVHarbin@dayrep.com
male|630-259-2088|Boys Markets|Horner|Patrick|PatrickGHorner@einrot.com
male|973-349-5506|K&G Distributors|Trevino|Ernest|ErnestETrevino@teleworm.us
female|906-282-0101|Wellby|Reedy|Dena|DenaFReedy@gustr.com
female|480-731-9028|Saturday Matinee|Pauley|Charlotte|CharlotteWPauley@dayrep.com
male|863-605-9175|Las Vegas Yard Management|Mayes|Sidney|SidneyKMayes@gustr.com
female|828-267-6032|ABC Markets|Yates|Elizabeth|ElizabethAYates@armyspy.com
male|636-591-4987|Kelsey's Neighbourhood Bar & Grill|Cardenas|Craig|CraigHCardenas@gustr.com
female|918-289-7239|Ukrop's Super Market|Vandegrift|Maria|MariaWVandegrift@armyspy.com
female|714-331-7829|JasmineSola|Lilly|Jean|JeanMLilly@jourrapide.com
female|989-790-7225|Destiny Planners|Myers|Shirley|ShirleyMMyers@rhyta.com
female|301-525-9815|Robinson Furniture|Robinette|Jill|JillJRobinette@einrot.com
male|503-952-8214|Naugles|Brown|William|WilliamEBrown@einrot.com
male|979-214-6222|Asian Junction|Young|Joseph|JosephPYoung@jourrapide.com
female|570-678-2181|Sky High Financial Advice|Lott|Hollie|HollieCLott@gustr.com
female|925-321-6222|10,000 Auto Parts|Corn|Andrea|AndreaBCorn@cuvox.de
female|201-560-5873|John M. Smyth's Homemakers|Doyle|Beatrice|BeatriceGDoyle@dayrep.com
male|843-344-4241|Honest Air Group|Adams|Gerald|GeraldAAdams@cuvox.de
male|718-793-8381|Fretter|Faulkner|Richard|RichardNFaulkner@gustr.com
male|716-258-9450|Pay 'N Pak|Harbin|Jesse|JesseFHarbin@dayrep.com
male|765-853-6511|Expo Superstore|Copeland|Cody|CodySCopeland@einrot.com
male|425-277-3585|MacMarr Stores|Sims|Jon|JonRSims@einrot.com
female|262-391-5582|Sportswest|Trimmer|Josephine|JosephineRTrimmer@einrot.com
male|804-803-9893|Metro|Jones|Theo|TheoAJones@superrito.com
male|716-445-3291|Laura Ashley Mother & Child|Fegan|Lloyd|LloydJFegan@rhyta.com
male|413-245-3858|Thriftway Food Mart|Chambers|Dale|DaleKChambers@fleckens.hu
male|315-380-0829|Pantry Pride|Gann|Paul|PaulSGann@rhyta.com
female|978-259-8348|Monk House Maker|Williams|Kareen|KareenWWilliams@cuvox.de
male|603-693-2114|Affinity Investment Group|Pardo|Bernard|BernardIPardo@jourrapide.com
female|843-834-0444|Young @ Heart|Wilson|Mae|MaeBWilson@gustr.com
female|914-482-1725|The White Swan|Bundy|Anita|AnitaJBundy@superrito.com
male|952-465-4495|Maxiserve |Pruett|Brady|BradyGPruett@cuvox.de
male|479-789-2850|Sun Television and Appliances|Holder|Joseph|JosephLHolder@jourrapide.com
male|410-392-5541|Kinney Shoes|Munn|Donald|DonaldMMunn@superrito.com
male|781-461-5670|Scott Ties|Greene|Rick|RickCGreene@einrot.com
male|937-294-6536|National Auto Parts|Malchow|Thomas|ThomasMMalchow@gustr.com
female|602-268-0081|Town and Country Convenience Stores|McLaughlin|Brandy|BrandyJMcLaughlin@cuvox.de
female|914-220-3435|Listenin' Booth|Hagan|Bernice|BerniceGHagan@teleworm.us
female|321-437-4365|Erlebacher's|Perron|Kathy|KathyJPerron@rhyta.com
male|517-881-9719|Custom Sound|Moore|Murray|MurrayAMoore@dayrep.com
male|773-689-9579|Joshua Doore|Gardner|Jasper|JasperPGardner@gustr.com
male|706-897-8971|York Steak House|Morris|George|GeorgeCMorris@fleckens.hu
female|573-267-2279|World of Fun|Underwood|Diane|DianeDUnderwood@fleckens.hu
male|256-776-7003|Levitz Furniture|Mack|Russell|RussellEMack@dayrep.com
female|870-229-2268|Wag's|Yost|Maria|MariaTYost@jourrapide.com
male|907-966-6806|Custom Lawn Service|Allain|Joseph|JosephSAllain@cuvox.de
female|561-622-4513|Mighty Casey's|Sullivan|Pearl|PearlCSullivan@rhyta.com
male|360-809-4008|Big D Supermarkets|Holliday|Gilbert|GilbertKHolliday@gustr.com
female|330-919-2682|Life's Gold|Wynn|Dorothy|DorothyRWynn@jourrapide.com
female|240-848-6150|K's Merchandise|Hughes|Donna|DonnaJHughes@rhyta.com
male|307-205-3515|Omni Superstore|Maes|Dwayne|DwayneSMaes@jourrapide.com
female|480-924-0736|Keeney's|Wellington|Rena|RenaRWellington@teleworm.us
male|773-445-1630|Childrens Bargain Town|Fisher|Ira|IraCFisher@dayrep.com
male|651-402-5824|Home Quarters Warehouse|Handy|Juan|JuanSHandy@fleckens.hu
male|937-550-5812|Endicott Johnson|Kohl|Raul|RaulPKohl@dayrep.com
male|704-646-6881|Record Bar|Leyva|Michael|MichaelKLeyva@armyspy.com
male|956-729-2778|Great Clothes|Lopez|Richard|RichardVLopez@cuvox.de
male|208-944-4902|Wealthy Ideas|Haywood|Kevin|KevinHHaywood@armyspy.com
male|847-576-0696|Food Barn|Abraham|Chris|ChrisVAbraham@teleworm.us
male|585-217-6752|Sammy's Record Shack|Taylor|John|JohnRTaylor@einrot.com
female|646-286-7262|Scott Ties|Lowry|Mary|MarySLowry@fleckens.hu
male|612-275-4146|Liberty Wealth Planners|Garcia|Merlin|MerlinJGarcia@einrot.com
female|203-812-8084|White Hen Pantry|Canty|Darlene|DarleneACanty@jourrapide.com
male|870-528-2872|Atlas Architectural Designs|Hargrove|Joel|JoelKHargrove@jourrapide.com
male|612-543-2385|Custom Sound|Brooks|Kyle|KyleWBrooks@teleworm.us
female|208-407-4579|Happy Bear Investment|Sims|Debra|DebraJSims@superrito.com
male|201-757-5313|Boston Sea Party|Perez|Christian|ChristianAPerez@armyspy.com
male|209-633-2498|Cut Rite Lawn Care|Little|Daniel|DanielALittle@einrot.com
male|406-537-7917|K&G Distributors|Clark|Delbert|DelbertJClark@teleworm.us
female|818-531-7224|Consumers Food and Drug|Hernandez|Sharon|SharonWHernandez@teleworm.us
female|405-991-3934|Tower Records|Mullins|Easter|EasterSMullins@einrot.com
male|405-971-8917|Millenia Life|Hanson|Matthew|MatthewOHanson@einrot.com
male|727-858-5396|Helping Hand|Bracco|Milton|MiltonTBracco@jourrapide.com
female|989-265-5814|Standard Brands Paint Company|Tate|Sophie|SophieOTate@superrito.com
female|616-607-7676|Janeville|Parker|Mary|MaryDParker@cuvox.de
male|601-478-5801|Veramons|Reynolds|Donald|DonaldAReynolds@rhyta.com
female|972-360-5614|Megatronic Plus|Crabtree|Debra|DebraTCrabtree@cuvox.de
female|660-231-8376|Independent Wealth Management|Castro|Beverly|BeverlyKCastro@cuvox.de
female|208-725-7944|Kragen Auto Parts|Johnson|Amanda|AmandaHJohnson@rhyta.com
female|636-449-7874|Rainbow Bay Crafts|Wansley|Brandi|BrandiPWansley@teleworm.us
female|716-817-9560|White Hen Pantry|Klar|Melissa|MelissaRKlar@rhyta.com
male|815-905-7261|Waccamaw Pottery|Hamilton|Ian|IanWHamilton@gustr.com
female|309-697-1167|Blockbuster Music|Boyce|Margaret|MargaretKBoyce@rhyta.com
female|408-997-0541|The High Heelers|Feldman|Rebecca|RebeccaDFeldman@cuvox.de
male|973-587-2312|Silo|Smoot|Angelo|AngeloBSmoot@einrot.com
female|763-782-5738|Giant Open Air|Morrissey|Lois|LoisRMorrissey@cuvox.de
male|803-734-2909|Your Choices|Wallace|William|WilliamAWallace@rhyta.com
male|207-238-3918|Frank's Nursery & Crafts|Gross|Ross|RossLGross@cuvox.de
male|701-836-6845|Thalhimers|Perez|Earl|EarlDPerez@einrot.com
male|903-521-5719|Lechmere|Stapleton|Randy|RandyMStapleton@armyspy.com
male|505-794-2930|Packer|Richardson|Edmund|EdmundLRichardson@einrot.com
female|209-957-2070|Pantry Food Stores|Hunt|Maria|MariaFHunt@fleckens.hu
male|605-381-0836|Vitamax Health Food Center|Stone|Richard|RichardMStone@cuvox.de
female|979-256-0262|Checker Auto Parts|Borges|Ivonne|IvonneMBorges@rhyta.com
female|205-794-3875|Erol's|Peele|Sierra|SierraCPeele@teleworm.us
male|719-577-2258|Adapt|Cornwell|Paul|PaulECornwell@jourrapide.com
male|979-484-6358|Laura Ashley Mother & Child|Forbes|Robert|RobertAForbes@cuvox.de
male|909-234-0317|Rossi Auto Parts|Johnson|Walter|WalterLJohnson@armyspy.com
male|913-706-2060|Wholesale Club, Inc.|Buck|David|DavidLBuck@fleckens.hu
female|707-315-0983|Starship Tapes & Records|Blackmer|Luisa|LuisaGBlackmer@gustr.com
male|208-836-4851|Maxi-Tech|Gray|James|JamesJGray@dayrep.com
male|276-666-2177|Merrymaking|Leonard|David|DavidNLeonard@fleckens.hu
female|360-473-9363|Witmark|Johnson|Diane|DianeAJohnson@rhyta.com
female|850-962-9546|Sandy's|Worthington|Edith|EdithJWorthington@fleckens.hu
male|317-813-5765|Electronic Geek|Evans|Danny|DannyCEvans@jourrapide.com
female|641-926-4763|Success Is Yours|Hansen|Melissa|MelissaDHansen@jourrapide.com
male|641-894-7706|On Cue|Clark|George|GeorgeHClark@einrot.com
female|845-754-3588|Lawnscape Garden Maintenance|Taylor|Christine|ChristineETaylor@fleckens.hu
male|309-584-8713|Sunflower Market|Foerster|Scott|ScottKFoerster@rhyta.com
female|731-285-5118|Family Toy|Capo|Cynthia|CynthiaJCapo@dayrep.com
male|305-317-4858|Boys Markets|Mo|Matthew|MatthewAMo@rhyta.com
female|804-926-1841|New World|Rea|Caroline|CarolineHRea@gustr.com
female|978-964-4746|Sun Foods|Stein|Irma|IrmaJStein@einrot.com
female|912-523-4284|Jacobs|Sullivan|Cindy|CindyKSullivan@fleckens.hu
female|701-217-4127|All Wound Up|Roca|Marlene|MarleneRRoca@gustr.com
male|724-276-6752|Farrell's Ice Cream Parlour|Jolin|Steven|StevenCJolin@rhyta.com
male|386-668-5116|The Original House of Pies|Torres|Christopher|ChristopherMTorres@rhyta.com
female|201-413-3732|Cougar Investment|Miller|Lucille|LucilleSMiller@superrito.com
female|309-254-9040|Marianne|Gayton|Amy|AmyEGayton@rhyta.com
female|320-382-8767|Sambo's|Price|Thelma|ThelmaMPrice@einrot.com
female|615-341-9232|Listen Up|Boone|Stephanie|StephanieTBoone@gustr.com
female|972-652-6551|Tradewell|Kozlowski|Jean|JeanPKozlowski@armyspy.com
male|301-999-4133|Xray Eye & Vision Clinics|Mullins|Timothy|TimothyPMullins@dayrep.com
male|408-640-1248|Fedco|Hernandez|John|JohnVHernandez@cuvox.de
male|865-388-2652|Big A Auto Parts|Brantley|Andrew|AndrewJBrantley@rhyta.com
female|616-475-2953|Big D Supermarkets|Hammons|Peggy|PeggyRHammons@dayrep.com
female|618-906-6119|McDade's|Smith|Annie|AnnieTSmith@rhyta.com
male|510-861-2042|Auto Palace|Gant|Alvin|AlvinKGant@dayrep.com
male|562-456-5083|Indiewealth|Simpson|Kenneth|KennethSSimpson@gustr.com
female|267-647-7740|Awthentikz|Freeman|Felecia|FeleciaLFreeman@cuvox.de
female|760-764-2910|Plan Smart|Harris|Ruth|RuthRHarris@rhyta.com
female|256-846-1933|Block Distributors|Jackson|Melissa|MelissaNJackson@einrot.com
female|803-628-9478|Choices|Caron|Lupe|LupePCaron@teleworm.us
female|512-785-4577|Grass Roots Yard Services|Caskey|Katelyn|KatelynACaskey@fleckens.hu
female|650-566-2786|Rolling Thunder|Parson|Lois|LoisJParson@superrito.com
male|703-991-6375|Road Runner Lawn Services|Cisneros|Martin|MartinACisneros@jourrapide.com
female|479-251-6248|Simple Solutions|Morrison|Fay|FayAMorrison@dayrep.com
male|504-371-2317|Scotty's Builders Supply|Borden|William|WilliamKBorden@dayrep.com
female|907-446-2316|The Lawn Guru|Rogers|Robin|RobinDRogers@rhyta.com
male|214-534-5162|Practi-Plan|Greathouse|John|JohnBGreathouse@armyspy.com
male|541-388-2686|Laughner's Cafeteria|Curtis|James|JamesCCurtis@gustr.com
female|701-235-9246|Architectural Genie|Davidson|Margarita|MargaritaRDavidson@gustr.com
female|952-884-0160|American Wholesale Club|Miller|Victoria|VictoriaCMiller@gustr.com
female|513-307-8021|Incredible Universe|Dennis|Joyce|JoyceLDennis@dayrep.com
male|740-735-4717|Millenia Life|Hawks|Roberto|RobertoCHawks@armyspy.com
female|602-808-8344|Tweeter|Tolliver|Karrie|KarriePTolliver@jourrapide.com
male|812-935-7439|Rainbow Bay Crafts|Coleman|David|DavidKColeman@jourrapide.com
male|830-497-7403|Record & Tape Outlet|Cardwell|Thomas|ThomasGCardwell@cuvox.de
male|701-844-0522|Strategic Profit|Henderson|William|WilliamSHenderson@einrot.com
male|267-281-8624|Eagle Hardware & Garden|Tucker|Russell|RussellVTucker@teleworm.us
male|360-346-7946|Square Circle|Smith|Robert|RobertFSmith@gustr.com
female|978-933-1563|Dun Rite Lawn Maintenance|Mosier|Carolynn|CarolynnDMosier@superrito.com
male|513-685-4241|Brooks Fashions|Zink|Charles|CharlesEZink@teleworm.us
male|218-205-2118|Gold Medal|Sellers|Jeffrey|JeffreyMSellers@armyspy.com
male|608-788-2452|American Appliance|Merlin|Eric|EricJMerlin@gustr.com
female|716-855-4358|Maloley's Finer Foods|Jones|Dianna|DiannaGJones@cuvox.de
female|631-762-2453|Scott Ties|Lavelle|Dorothy|DorothyMLavelle@gustr.com
male|714-485-5373|Hoyden|Miles|Jesse|JesseEMiles@cuvox.de
female|563-503-1807|Strong Life|Steele|Karen|KarenCSteele@jourrapide.com
female|323-225-2342|Finast|Clarkson|Lauri|LauriCClarkson@rhyta.com
female|916-870-7400|Cardinal Stores|Brewer|Melissa|MelissaABrewer@superrito.com
male|504-835-3631|Multi-Systems Merchant Services|Mallon|Antonio|AntonioNMallon@rhyta.com
female|406-793-0079|Wheels Discount Auto|Sharber|Deborah|DeborahTSharber@gustr.com
female|803-495-9043|A.J. August Fashion Wear|Rhodes|Jenny|JennyJRhodes@fleckens.hu
male|337-769-0136|Auto Works|Lupton|David|DavidSLupton@einrot.com
male|802-807-7863|Eisner Food Stores|Claiborne|Reuben|ReubenBClaiborne@armyspy.com
male|412-673-6079|Foreman & Clark|Johnson|Heriberto|HeribertoIJohnson@cuvox.de
male|912-678-9829|Hughes Markets|Wheeler|William|WilliamMWheeler@cuvox.de
female|978-418-2193|Super Shops|Dixon|Kathleen|KathleenMDixon@dayrep.com
male|859-266-2880|Desmonds Formal Wear|Stewart|Russell|RussellVStewart@cuvox.de
female|661-329-1295|Hechinger|Morrow|Isabel|IsabelAMorrow@cuvox.de
male|650-686-3390|Thriftway Food Mart|Rodriguez|Carl|CarlCRodriguez@cuvox.de
male|404-220-7970|Schaak Electronics|Evans|Spencer|SpencerMEvans@fleckens.hu
female|617-995-7475|Adray|Williams|Rachel|RachelJWilliams@jourrapide.com
female|701-456-9473|Frank's Nursery & Crafts|Carbone|Ella|EllaJCarbone@einrot.com
male|925-962-8083|Webcom Business Services|Stephens|Eugene|EugeneMStephens@fleckens.hu
female|323-207-9460|Janeville|Scotti|Lola|LolaJScotti@dayrep.com
female|706-423-0469|Great American Music|Moon|Shirley|ShirleyRMoon@armyspy.com
male|231-916-6084|House 2 Home|Williams|Clark|ClarkMWilliams@rhyta.com
female|989-217-4773|Fragrant Flower Lawn Services|Colon|Chin|ChinIColon@armyspy.com
male|239-490-4582|Las Vegas Yard Management|Aparicio|Jerry|JerryCAparicio@gustr.com
female|907-273-3302|Scott Ties|Ramirez|Janice|JaniceFRamirez@armyspy.com
male|845-647-2927|Saturday Matinee|McDaniel|Ken|KenSMcDaniel@teleworm.us
female|714-998-8896|Security Sporting Goods|Mobley|Bethany|BethanyLMobley@armyspy.com
male|224-616-3839|MegaSolutions|Collier|Benjamin|BenjaminACollier@superrito.com
male|803-476-8608|Finast|Stoker|Roberto|RobertoLStoker@jourrapide.com
male|504-299-4055|Maurice The Pants Man|Lund|John|JohnVLund@rhyta.com
female|630-627-6401|Circuit City|Paul|Edith|EdithJPaul@armyspy.com
female|660-427-6716|Magna Consulting|Murdock|Lynn|LynnPMurdock@fleckens.hu
male|501-831-1415|Odyssey Records & Tapes|Jenkins|Jerry|JerryPJenkins@dayrep.com
male|618-343-8551|Newhair|Dillard|Paul|PaulBDillard@superrito.com
male|501-786-5263|Rainbow Life|Reid|Walter|WalterGReid@armyspy.com
male|505-798-1507|The Fox and Hound |Willey|Omar|OmarCWilley@armyspy.com
male|318-724-7453|Harvest Foods|Rutledge|John|JohnERutledge@teleworm.us
male|662-283-6040|Circus World|Thomas|Gene|GeneJThomas@armyspy.com
female|512-794-1072|Handy Andy Home Improvement Center|McCune|Constance|ConstanceGMcCune@jourrapide.com
female|972-677-6768|Maxiserve |Shaw|Patricia|PatriciaTShaw@gustr.com
female|606-841-2196|Angel's|Schmaltz|Phyllis|PhyllisJSchmaltz@cuvox.de
female|570-688-4824|De-Jaiz Mens Clothing|Everett|Paula|PaulaAEverett@gustr.com
male|325-481-7992|The Record Shops at TSS|Shreve|Glen|GlenHShreve@dayrep.com
male|215-405-6453|Murray's Discount Auto Stores|Gonzales|Mark|MarkGGonzales@fleckens.hu
female|254-471-7874|Macroserve|Milne|Melissa|MelissaBMilne@jourrapide.com
female|270-883-3390|Bombay Company|Wilson|Heather|HeatherMWilson@rhyta.com
female|979-472-0471|Littler's|Roman|Julie|JulieMRoman@armyspy.com
male|310-400-8992|Huyler's|Kluge|Michael|MichaelKKluge@gustr.com
female|850-885-6506|Chief Auto Parts|Knowlton|Breann|BreannJKnowlton@dayrep.com
male|559-733-2935|Helping Hand|Aguilar|Peter|PeterZAguilar@jourrapide.com
male|256-604-3326|Magik Lamp|Cates|Gregg|GreggSCates@jourrapide.com
male|540-484-2901|Northern Star|Acevedo|Jason|JasonSAcevedo@armyspy.com
female|443-231-8264|Williams Bros.|Mitchell|Sharon|SharonBMitchell@rhyta.com
male|301-643-6150|Magik Grey|Saragosa|Kenneth|KennethRSaragosa@rhyta.com
male|712-301-5678|Play Town|Butler|Curtis|CurtisMButler@rhyta.com
female|806-335-4533|Nan Duskin|Wong|Delorse|DelorseGWong@rhyta.com
male|231-628-9438|Tons O' Toys|Saunders|Michael|MichaelMSaunders@rhyta.com
male|314-862-1400|Whitlocks Auto Supply|Ring|Eli|EliHRing@armyspy.com
female|802-898-1397|Rainbow Bay Crafts|Popovich|Sharon|SharonDPopovich@jourrapide.com
male|626-696-3210|Veramons|Yang|Phillip|PhillipJYang@einrot.com
female|339-223-0816|Raleigh's|Cruz|Willie|WillieJCruz@jourrapide.com
male|916-316-6162|DGS HomeSource|Lindsey|Enrique|EnriqueDLindsey@rhyta.com
female|912-681-4342|Western Auto|Miller|Florence|FlorenceAMiller@jourrapide.com
male|865-545-2883|Pro Star Garden Management|Guidry|Claude|ClaudeMGuidry@jourrapide.com
male|212-460-7513|Personal & Corporate Design|Watkins|Thaddeus|ThaddeusDWatkins@dayrep.com
male|507-319-7067|J. Riggings|Joyner|Phillip|PhillipJJoyner@superrito.com
female|253-831-9996|Pay 'N Pak|Weir|Christine|ChristineRWeir@rhyta.com
male|806-831-0983|Briazz|Vega|Richard|RichardFVega@superrito.com
male|630-322-2985|National Hardgoods Distributors|Logan|Don|DonMLogan@teleworm.us
male|906-832-5194|Linens 'n Things|Branch|James|JamesABranch@dayrep.com
male|586-630-3720|Kohl's Food Stores|Cronin|Bert|BertACronin@rhyta.com
female|248-829-1140|Super Saver Foods|Pietrzak|Lois|LoisJPietrzak@cuvox.de
female|402-208-7300|AJ Bayless|Giguere|Camille|CamilleVGiguere@gustr.com
female|206-372-5992|Independent Wealth Management|Owens|Vanessa|VanessaROwens@dayrep.com
male|918-825-7949|Red Owl|Held|Miguel|MiguelMHeld@dayrep.com
female|773-606-4654|Wholesale Club, Inc.|Coy|Lois|LoisRCoy@superrito.com
male|912-857-8972|Prestiga-Biz|Baker|Larry|LarryCBaker@cuvox.de
male|206-270-7545|Personal & Corporate Design|Harding|Joseph|JosephGHarding@gustr.com
female|360-523-3032|Food Giant|Joyce|Florence|FlorenceTJoyce@rhyta.com
female|253-719-2985|Murray's Discount Auto Stores|Clark|Lisa|LisaPClark@cuvox.de
male|828-565-5604|Price Savers|Gross|Ronald|RonaldMGross@jourrapide.com
male|614-844-7058|Childrens Bargain Town|Massey|Robert|RobertDMassey@superrito.com
female|949-470-3198|Home Centers|Watkins|Ivy|IvyDWatkins@jourrapide.com
male|936-720-9700|Honest Air Group|Copeland|Ralph|RalphJCopeland@einrot.com
male|806-994-3843|Total Yard Maintenance|Shockley|Charles|CharlesJShockley@rhyta.com
male|830-613-3962|Signa Air|McClure|James|JamesHMcClure@dayrep.com
female|907-635-5339|Geri's Hamburgers|Washington|Peggy|PeggyPWashington@rhyta.com
male|731-799-2847|Sofa Express|Doucet|Allen|AllenEDoucet@gustr.com
male|954-501-4931|Total Serve|West|Lester|LesterDWest@jourrapide.com
male|832-553-6979|Disc Jockey|Baley|Kenneth|KennethCBaley@gustr.com
female|973-929-8310|Tradewell|Root|Tina|TinaMRoot@cuvox.de
female|281-645-2475|Price Savers|Tipton|Essie|EssieCTipton@superrito.com
female|804-886-2853|Monk House Maker|Kelsey|Carla|CarlaRKelsey@jourrapide.com
female|405-516-9439|Williams Bros.|Sim|Edith|EdithJSim@superrito.com
female|330-420-2393|Magik Grey|Toombs|Carol|CarolJToombs@rhyta.com
male|314-303-3104|Life's Gold|Frost|Ricky|RickyRFrost@jourrapide.com
female|423-323-8980|Ideal Garden Maintenance|Elliott|April|AprilTElliott@einrot.com
female|309-492-2266|Patterson-Fletcher|Urso|Towanda|TowandaCUrso@gustr.com
male|740-794-4461|Karl's Shoes|Peluso|David|DavidLPeluso@dayrep.com
male|502-966-7285|JumboSports|Rodriguez|Richard|RichardMRodriguez@teleworm.us
female|423-476-4776|Weenie Beenie|Shepard|Barbara|BarbaraRShepard@superrito.com
female|917-762-0624|Unity Stationers|Lee|Agnes|AgnesRLee@jourrapide.com
male|312-937-0760|Grossman's|Jackson|Emanuel|EmanuelMJackson@fleckens.hu
female|727-895-7842|Envirotecture Design Service|Harms|Linda|LindaPHarms@armyspy.com
male|720-857-9944|Huffman and Boyle|Ross|Edward|EdwardGRoss@cuvox.de
female|770-638-0667|Eagle Hardware & Garden|Steinhauer|Angela|AngelaSSteinhauer@jourrapide.com
male|210-255-5631|Warshal's|Schultz|Arturo|ArturoPSchultz@dayrep.com
female|770-834-1907|Plan Smart|Carson|Agnes|AgnesGCarson@cuvox.de
female|713-261-1703|Plan Smart|Moreno|Connie|ConnieWMoreno@dayrep.com
male|301-907-4183|Ole's|Choe|Carlos|CarlosDChoe@gustr.com
male|586-506-8861|Central Hardware|Bernardino|Samuel|SamuelGBernardino@jourrapide.com
female|985-641-6078|Stratagee|Lewis|Charlotte|CharlotteJLewis@fleckens.hu
female|704-501-1977|Ulbrich's|Stringfield|Lois|LoisCStringfield@cuvox.de
male|209-948-0140|The Serendipity Dip|Anderson|Claude|ClaudeMAnderson@dayrep.com
male|845-985-0164|Yesterday's Records|Dossantos|Thomas|ThomasJDossantos@rhyta.com
male|812-720-0718|Magna Architectural Design|Hayes|Paul|PaulEHayes@einrot.com
female|484-446-6877|Gottschalks|Borges|Lona|LonaRBorges@fleckens.hu
female|813-817-3955|Beaver Lumber|McDole|Dana|DanaJMcDole@jourrapide.com
female|443-781-1659|Weatherill's|Rose|Crystal|CrystalERose@gustr.com
female|714-859-8527|Chandler's|Parrish|Elizabeth|ElizabethBParrish@teleworm.us
female|580-717-0704|Aaronson Furniture|Battista|Maria|MariaABattista@jourrapide.com
male|215-241-3530|Albers Super Markets|Sauer|Homer|HomerSSauer@rhyta.com
male|661-993-3728|You Are Successful|Bucci|Robbie|RobbieMBucci@gustr.com
male|573-922-3081|DGS VolMAX|Gaddis|Jerry|JerryKGaddis@rhyta.com
male|847-852-2727|Sports Unlimited|McNair|Walter|WalterSMcNair@einrot.com
male|806-225-5283|Mr. AG's|James|Marlon|MarlonEJames@fleckens.hu
female|270-955-4457|Dave Cooks|Manning|Antionette|AntionetteWManning@gustr.com
